Hugo_Symbol	PHLC110	PHLC111	PHLC119	PHLC12	PHLC132	PHLC137	PHLC148	PHLC164	PHLC169	PHLC181	PHLC188	PHLC189	PHLC191	PHLC192	PHLC196	PHLC200	PHLC215	PHLC228	PHLC229	PHLC235	PHLC267	PHLC274	PHLC299	PHLC321	PHLC402	PHLC410	PHLC470	PHLC655	PHLC77	PHLC82
A1BG	1	-1	-1	-1	1	0	-1	1	-1	0	0	1	1	-1	1	1	1	1	-1	-1	2	0	1	-1	-1	1	0	2	-1	0
A2M	-1	-1	-1	-1	1	1	0	1	-1	1	0	1	1	-1	1	1	1	1	0	-1	1	-1	1	1	2	1	0	0	2	-1
A2MP1	-1	-1	-1	-1	1	1	0	1	-1	1	0	1	1	-1	1	1	1	1	0	-1	1	-1	1	1	2	1	0	0	2	-1
NAT1	-1	-1	0	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	-2	-1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
NAT2	-1	-1	0	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	-2	-1	0	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
SERPINA3	1	1	-1	-1	-1	1	-1	0	1	0	1	-1	1	-1	-1	-1	0	-1	-1	1	-1	0	0	-1	0	1	1	0	1	1
AADAC	1	1	-1	-1	1	-1	-1	0	1	1	1	-1	-1	-1	0	2	1	2	1	-1	1	0	1	1	-1	1	1	0	0	0
AAMP	1	0	-1	1	-1	1	-1	0	-1	0	0	0	1	1	-1	0	-1	0	-1	0	0	0	-1	-1	1	-1	-1	0	-1	1
AANAT	1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	0	1	0	1	-1	1	0	-1	1	0	1	-1	-1	0	1	1
AARS	-1	-1	1	1	1	-1	1	-1	-1	1	0	0	1	2	1	0	-1	1	0	-1	-1	0	0	1	0	1	-1	-1	1	-1
ABAT	0	-1	1	1	1	0	1	1	0	1	1	0	1	1	-1	0	-1	1	0	-1	0	-1	0	1	1	1	-1	1	-1	0
ABCA1	1	0	1	0	-1	0	1	0	0	0	1	-1	1	0	-2	-1	-1	1	-1	0	-1	-1	-1	1	-1	-1	-1	1	1	-1
ABCA2	0	0	1	1	-1	1	0	-1	0	1	1	-1	1	-1	0	-1	-1	-1	2	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1
ABCA3	0	-1	-1	0	1	0	1	-1	0	0	1	1	0	1	-1	-1	-1	1	1	-1	-1	-1	1	1	1	1	-1	1	-1	0
ABCF1	1	-1	1	0	1	-1	-1	0	0	-1	0	0	-1	-1	1	0	1	0	-1	1	1	0	0	1	-1	0	0	-1	-1	1
ABCA4	2	0	0	0	1	-1	1	0	-1	1	0	0	-1	1	0	-1	-1	0	-1	0	-1	0	0	-1	-1	1	0	-1	0	-1
ABL1	1	0	1	1	-1	1	0	-1	0	0	1	-1	1	-1	0	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1
ABP1	2	1	1	-1	1	-1	1	1	1	0	0	1	-1	1	-1	1	1	-1	0	1	1	0	1	1	0	-1	0	0	1	-1
ABL2	1	1	-1	1	0	-1	-1	1	-1	1	0	1	1	1	1	1	-1	1	1	-1	1	0	0	1	1	1	0	1	-1	-1
ABO	0	0	1	1	-1	1	0	-1	0	0	1	-1	1	-1	0	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1
ABR	-1	-1	-1	-1	-1	0	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	-1	0	0	-1	0	-1	1	-1	-1	-1	0
ACAA1	-1	-1	-1	0	-1	-1	1	0	0	-1	-1	0	0	-1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1
ACACA	1	1	1	-1	-1	1	1	-1	0	1	-1	1	-1	-1	-1	0	0	-1	-1	2	1	0	0	-1	1	-1	-1	0	1	-1
ACACB	-1	0	-1	0	1	-1	1	1	-1	1	0	1	0	-1	-1	1	0	-1	0	0	-1	0	-1	1	-1	-1	0	-1	1	-1
