Hugo_Symbol	PHLC106	PHLC110	PHLC111	PHLC113	PHLC116	PHLC119	PHLC122	PHLC123	PHLC12	PHLC132	PHLC133	PHLC134	PHLC137	PHLC139	PHLC148	PHLC149	PHLC151	PHLC152	PHLC154	PHLC156	PHLC162	PHLC164	PHLC169	PHLC171	PHLC178	PHLC181	PHLC182	PHLC188	PHLC189	PHLC191	PHLC192	PHLC193	PHLC194	PHLC196	PHLC198	PHLC200	PHLC204	PHLC205	PHLC207	PHLC211	PHLC215	PHLC220	PHLC223	PHLC225	PHLC228	PHLC229	PHLC234	PHLC235	PHLC236	PHLC237	PHLC239	PHLC242	PHLC243	PHLC247	PHLC251	PHLC252	PHLC255	PHLC256	PHLC267	PHLC268	PHLC271	PHLC272	PHLC273	PHLC274	PHLC277	PHLC286	PHLC295	PHLC296	PHLC299	PHLC309	PHLC314	PHLC315	PHLC321	PHLC325	PHLC326	PHLC328	PHLC334	PHLC339	PHLC344	PHLC353	PHLC356	PHLC360	PHLC362	PHLC365	PHLC366	PHLC369	PHLC379	PHLC390	PHLC397	PHLC402	PHLC410	PHLC412	PHLC417	PHLC422	PHLC426	PHLC428	PHLC431	PHLC435	PHLC438	PHLC444	PHLC451	PHLC459	PHLC462	PHLC469	PHLC470	PHLC471	PHLC501	PHLC50	PHLC55	PHLC57	PHLC62	PHLC655	PHLC77	PHLC81	PHLC82	PHLC83	PHLC85	PHLC86
A1BG	0	1	-1	-1	1	-1	-1	1	-1	1	-1	0	0	-1	-1	-1	1	0	1	1	-1	1	-1	1	1	0	0	0	1	1	-1	0	-1	1	2	1	1	1	0	0	1	-1	1	2	1	-1	1	-1	1	1	1	0	-1	1	1	0	1	0	2	1	2	-1	2	0	1	0	0	0	1	0	-1	-1	-1	0	1	-1	-1	1	1	0	-1	0	0	1	-1	1	1	0	1	-1	1	-1	1	1	1	-1	1	1	0	1	-1	0	-1	0	0	0	0	-1	1	1	0	2	-1	-1	0	-1	1	-1
A2M	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	0	0	0	1	0	1	-1	1	-1	1	1	1	1	0	1	1	-1	-1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	1	-1	0	0	0	-1	-1	0	1	1	1	1	1	0	1	2	1	-1	1	0	1	0	1	1	0	0	1	0	1	1	-1	0	0	1	1	0	1	1	1	1	1	1	1	2	1	-1	-1	-1	-1	1	1	-1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	2	0	-1	1	1	0
A2MP1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	0	1	0	1	0	1	-1	1	-1	1	1	1	1	0	1	1	-1	-1	1	1	2	1	1	1	0	1	1	0	0	0	1	0	1	-1	0	0	0	-1	-1	0	1	1	1	1	1	0	1	2	1	-1	1	0	1	0	1	1	0	0	1	0	1	1	-1	0	0	1	1	0	1	1	1	1	1	1	1	2	1	-1	-1	-1	-1	1	1	-1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	2	0	-1	1	1	0
NAT1	2	-1	-1	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	-1	-1	-1	1	1	-2	1	-1	-1	0	2	-1	0	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	0	-1	0	-1	-1	1	-1	0	-1	-1	1	0	-1	-1	-1	-2	-2	-1	-1	0	0	-1	0	-1	-1	-1	-1	0	-1	0	-1	-1	0	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	1	1	0	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
NAT2	2	-1	-1	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	-1	-1	-1	1	1	-2	1	-1	-1	0	2	-1	0	-1	-1	-1	-1	1	-1	-1	-1	1	0	-1	-1	-1	0	-1	0	-1	-1	1	-1	0	-1	-1	1	0	-1	-1	-1	-2	-2	-1	-1	0	0	-1	0	-1	-1	-1	-1	0	-1	0	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	0	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
SERPINA3	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	0	1	0	-1	0	0	-1	1	1	1	0	1	0	1	0	-1	1	-1	1	-1	1	0	-1	1	-1	-1	0	1	1	0	1	1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	0	1	1	0	-1	-1	0	1	1	-1	0	-1	0	0	0	0	0	1	1	-1	0	-1	1	1	-1	0	1	0	0	0	1	0	1	0	-1	1	0	1	-1	1	-1	-1	1	-1	1	0	-1	-1	1	0	1	1	0	-1	2	-1	0	0	0	1	0	1	1	-1	0
AADAC	-1	1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	0	0	1	1	1	0	1	1	-1	1	1	1	-1	-1	-1	2	0	0	2	2	1	1	2	-1	1	1	1	2	2	1	1	-1	0	-1	0	1	-1	1	1	1	-1	0	1	1	1	1	1	0	1	1	2	2	1	0	0	0	1	0	-1	1	-1	0	0	1	1	0	1	2	2	1	1	1	1	-1	1	1	1	2	-1	1	1	1	0	0	1	0	2	2	1	0	1	1	1	1	1	0	0	-1	0	1	1	1
AAMP	0	1	0	-1	-1	-1	-1	1	1	-1	-1	0	1	1	-1	0	0	0	-1	0	0	0	-1	-1	-1	0	1	0	0	1	1	1	1	-1	-1	0	-1	1	-1	0	-1	-1	0	0	0	-1	1	0	0	1	0	1	-1	1	1	0	-1	0	0	-1	0	1	1	0	1	-1	-1	1	-1	1	0	0	-1	0	0	-1	0	-1	0	1	-1	0	0	-1	-1	-1	0	-1	0	1	-1	0	1	-1	1	0	0	0	0	-1	1	-1	0	1	-1	1	-1	0	-1	0	0	0	-1	1	1	-1	1	0
AANAT	-1	1	1	1	1	1	1	-1	-1	-1	1	2	1	-1	1	-1	0	-1	1	1	1	1	-1	1	0	1	-1	1	1	-1	-1	-1	2	0	-1	1	-1	-1	1	1	0	1	0	-1	1	-1	1	1	1	1	0	1	1	1	1	0	1	1	0	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	0	-2	-1	-1	1	1	0	-1	-1	1	-1	0	0	0	1	0	1	1	-1	1	1	-1	1	1	-1	1	0	0	0	0	1	1	-1	1	0	0	1	1	0	0	1	2	1	1	-1	1
AARS	0	-1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	0	1	0	-1	-1	1	0	1	-1	-1	-1	0	1	1	0	0	1	2	1	0	1	1	0	1	0	1	-1	-1	1	0	-1	1	0	-1	-1	0	-1	0	-1	-1	-1	0	-1	0	-1	-1	0	1	1	1	0	1	1	1	0	0	-1	0	1	1	0	1	1	-1	-1	-1	1	-1	0	-1	0	1	0	0	1	-1	0	1	-1	1	0	-1	-1	-1	1	0	0	1	-1	0	0	-1	0	0	1	-1	1	-1	-1	1	0	-1	-1	-1	-1
ABAT	0	0	-1	-1	0	1	1	-1	1	1	-1	-1	0	-2	1	-1	-1	-1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	-1	-1	0	1	0	1	0	-1	-1	0	0	1	0	-1	-1	0	-1	0	1	1	0	1	-1	1	0	0	-1	-1	-1	-1	-1	1	-1	-1	0	0	1	0	1	1	2	1	1	-1	-1	-1	1	0	0	1	0	-1	-1	0	1	-1	1	1	1	1	0	0	-1	1	1	1	-1	1	-1	1	-1	-1	0	0	0	1	0	0	1	-1	0	0	-1	-1	-1
ABCA1	-2	1	0	-1	1	1	1	-1	0	-1	1	1	0	0	1	1	0	-1	-1	-1	0	0	0	-1	0	0	0	1	-1	1	0	1	0	-2	0	-1	1	0	1	0	-1	-1	0	0	1	-1	-1	0	0	1	0	1	-1	0	-1	0	1	-1	-1	-1	0	0	-1	-1	-1	1	0	1	-1	-1	-1	-1	1	-2	0	1	0	-1	1	-1	0	0	0	0	-1	1	-1	0	-1	-1	-1	1	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	0	0	1	-1	1	1	1	1	-1	-1	0	-1	-1
ABCA2	0	0	0	-1	-1	1	1	-1	1	-1	1	1	1	1	0	0	0	1	1	-1	-1	-1	0	-1	-1	1	0	1	-1	1	-1	0	2	0	-1	-1	1	1	1	0	-1	-1	1	0	-1	2	-1	-1	-1	-1	1	1	-1	0	-2	0	1	-1	-1	-1	-1	-1	-2	-1	-1	-1	1	1	-1	1	-1	-1	1	-2	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	2	0	-1	0	-1	-1	0	-1	2	1	0	-1	-1	-1	0	0	-1	-1	0	0	1	0	-1	-1	-1	-1	-1
ABCA3	1	0	-1	-1	0	-1	1	-1	0	1	-1	0	0	1	1	-1	-1	-1	1	0	1	-1	0	0	1	0	-1	1	1	0	1	1	1	-1	1	-1	1	0	1	0	-1	-1	0	0	1	1	-1	-1	-1	-1	1	1	-1	0	1	-2	1	0	-1	-1	-1	-1	-1	-1	1	-1	-2	0	1	-1	-1	1	1	-2	1	1	-1	-1	-1	1	-1	-1	1	0	-1	-1	0	-1	-2	1	1	1	1	-1	0	-1	1	2	0	-1	0	-1	1	-1	-1	0	0	0	-1	1	1	1	-1	0	0	-1	-1	-1
