model.id,biobase.id,mDataType
f69.PHLC12.TPX.erlotinib.P611,PHLC12,RNASeq
f69.PHLC12.TPX.erlotinib.P611,PHLC12,CNV
f69.PHLC12.TPX.erlotinib.P611,PHLC12,mutation
f69.PHLC12.TPX.control.P609,PHLC12,RNASeq
f69.PHLC12.TPX.control.P609,PHLC12,CNV
f69.PHLC12.TPX.control.P609,PHLC12,mutation
f69.PHLC12.TPX.BKM120.P608,PHLC12,RNASeq
f69.PHLC12.TPX.BKM120.P608,PHLC12,CNV
f69.PHLC12.TPX.BKM120.P608,PHLC12,mutation
f69.PHLC12.TPX.control.P610,PHLC12,RNASeq
f69.PHLC12.TPX.control.P610,PHLC12,CNV
f69.PHLC12.TPX.control.P610,PHLC12,mutation
f69.PHLC12.TPX.BKM120.P607,PHLC12,RNASeq
f69.PHLC12.TPX.BKM120.P607,PHLC12,CNV
f69.PHLC12.TPX.BKM120.P607,PHLC12,mutation
f69.PHLC12.TPX.erlotinib.P606,PHLC12,RNASeq
f69.PHLC12.TPX.erlotinib.P606,PHLC12,CNV
f69.PHLC12.TPX.erlotinib.P606,PHLC12,mutation
f69.PHLC12.TPX.control.P612,PHLC12,RNASeq
f69.PHLC12.TPX.control.P612,PHLC12,CNV
f69.PHLC12.TPX.control.P612,PHLC12,mutation
f69.PHLC12.TPX.BKM120.P613,PHLC12,RNASeq
f69.PHLC12.TPX.BKM120.P613,PHLC12,CNV
f69.PHLC12.TPX.BKM120.P613,PHLC12,mutation
f65.PHLC12.TPX.control.P708,PHLC12,RNASeq
f65.PHLC12.TPX.control.P708,PHLC12,CNV
f65.PHLC12.TPX.control.P708,PHLC12,mutation
f69.PHLC12.TPX.erlotinib.P604,PHLC12,RNASeq
f69.PHLC12.TPX.erlotinib.P604,PHLC12,CNV
f69.PHLC12.TPX.erlotinib.P604,PHLC12,mutation
f69.PHLC12.TPX.control.P603,PHLC12,RNASeq
f69.PHLC12.TPX.control.P603,PHLC12,CNV
f69.PHLC12.TPX.control.P603,PHLC12,mutation
f69.PHLC12.TPX.control.P602,PHLC12,RNASeq
f69.PHLC12.TPX.control.P602,PHLC12,CNV
f69.PHLC12.TPX.control.P602,PHLC12,mutation
f69.PHLC12.TPX.BKM120.P601,PHLC12,RNASeq
f69.PHLC12.TPX.BKM120.P601,PHLC12,CNV
f69.PHLC12.TPX.BKM120.P601,PHLC12,mutation
f69.PHLC12.TPX.control.P605,PHLC12,RNASeq
f69.PHLC12.TPX.control.P605,PHLC12,CNV
f69.PHLC12.TPX.control.P605,PHLC12,mutation
f70.PHLC12.TPX.control.P53,PHLC12,RNASeq
f70.PHLC12.TPX.control.P53,PHLC12,CNV
f70.PHLC12.TPX.control.P53,PHLC12,mutation
f70.PHLC12.TPX.control.P52,PHLC12,RNASeq
f70.PHLC12.TPX.control.P52,PHLC12,CNV
f70.PHLC12.TPX.control.P52,PHLC12,mutation
f70.PHLC12.TPX.control.P51,PHLC12,RNASeq
f70.PHLC12.TPX.control.P51,PHLC12,CNV
f70.PHLC12.TPX.control.P51,PHLC12,mutation
f70.PHLC12.TPX.RG7388.P56,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388.P56,PHLC12,CNV
f70.PHLC12.TPX.RG7388.P56,PHLC12,mutation
f70.PHLC12.TPX.RG7388.P55,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388.P55,PHLC12,CNV
f70.PHLC12.TPX.RG7388.P55,PHLC12,mutation
f70.PHLC12.TPX.RG7388.P54,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388.P54,PHLC12,CNV
f70.PHLC12.TPX.RG7388.P54,PHLC12,mutation
f70.PHLC12.TPX.control.P48,PHLC12,RNASeq
f70.PHLC12.TPX.control.P48,PHLC12,CNV
f70.PHLC12.TPX.control.P48,PHLC12,mutation
f70.PHLC12.TPX.control.P47,PHLC12,RNASeq
f70.PHLC12.TPX.control.P47,PHLC12,CNV
f70.PHLC12.TPX.control.P47,PHLC12,mutation
f69.PHLC12.TPX.BKM120.P618,PHLC12,RNASeq
f69.PHLC12.TPX.BKM120.P618,PHLC12,CNV
f69.PHLC12.TPX.BKM120.P618,PHLC12,mutation
f70.PHLC12.TPX.control.P50,PHLC12,RNASeq
f70.PHLC12.TPX.control.P50,PHLC12,CNV
f70.PHLC12.TPX.control.P50,PHLC12,mutation
f70.PHLC12.TPX.control.P49,PHLC12,RNASeq
f70.PHLC12.TPX.control.P49,PHLC12,CNV
f70.PHLC12.TPX.control.P49,PHLC12,mutation
f70.PHLC12.TPX.RG7388-50.P63,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388-50.P63,PHLC12,CNV
f70.PHLC12.TPX.RG7388-50.P63,PHLC12,mutation
f70.PHLC12.TPX.RG7388-50.P62,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388-50.P62,PHLC12,CNV
f70.PHLC12.TPX.RG7388-50.P62,PHLC12,mutation
f70.PHLC12.TPX.RG7388-50.P61,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388-50.P61,PHLC12,CNV
f70.PHLC12.TPX.RG7388-50.P61,PHLC12,mutation
f70.PHLC12.TPX.RG7388-50.P64,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388-50.P64,PHLC12,CNV
f70.PHLC12.TPX.RG7388-50.P64,PHLC12,mutation
f70.PHLC12.TPX.RG7388-50.P66,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388-50.P66,PHLC12,CNV
f70.PHLC12.TPX.RG7388-50.P66,PHLC12,mutation
f70.PHLC12.TPX.RG7388-50.P65,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388-50.P65,PHLC12,CNV
f70.PHLC12.TPX.RG7388-50.P65,PHLC12,mutation
f70.PHLC12.TPX.RG7388.P58,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388.P58,PHLC12,CNV
f70.PHLC12.TPX.RG7388.P58,PHLC12,mutation
f70.PHLC12.TPX.RG7388.P57,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388.P57,PHLC12,CNV
f70.PHLC12.TPX.RG7388.P57,PHLC12,mutation
f70.PHLC12.TPX.RG7388.P59,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388.P59,PHLC12,CNV
f70.PHLC12.TPX.RG7388.P59,PHLC12,mutation
f70.PHLC12.TPX.RG7388.P60,PHLC12,RNASeq
f70.PHLC12.TPX.RG7388.P60,PHLC12,CNV
f70.PHLC12.TPX.RG7388.P60,PHLC12,mutation
f69.PHLC12.TPX.erlotinib.P615,PHLC12,RNASeq
f69.PHLC12.TPX.erlotinib.P615,PHLC12,CNV
f69.PHLC12.TPX.erlotinib.P615,PHLC12,mutation
f69.PHLC12.TPX.control.P616,PHLC12,RNASeq
f69.PHLC12.TPX.control.P616,PHLC12,CNV
f69.PHLC12.TPX.control.P616,PHLC12,mutation
f69.PHLC12.TPX.BKM120.P614,PHLC12,RNASeq
f69.PHLC12.TPX.BKM120.P614,PHLC12,CNV
f69.PHLC12.TPX.BKM120.P614,PHLC12,mutation
f69.PHLC12.TPX.erlotinib.P617,PHLC12,RNASeq
f69.PHLC12.TPX.erlotinib.P617,PHLC12,CNV
f69.PHLC12.TPX.erlotinib.P617,PHLC12,mutation
f65.PHLC12.TPX.gefitinib.P701,PHLC12,RNASeq
f65.PHLC12.TPX.gefitinib.P701,PHLC12,CNV
f65.PHLC12.TPX.gefitinib.P701,PHLC12,mutation
f65.PHLC12.TPX.control.P702,PHLC12,RNASeq
f65.PHLC12.TPX.control.P702,PHLC12,CNV
f65.PHLC12.TPX.control.P702,PHLC12,mutation
f65.PHLC12.TPX.control.P703,PHLC12,RNASeq
f65.PHLC12.TPX.control.P703,PHLC12,CNV
f65.PHLC12.TPX.control.P703,PHLC12,mutation
f65.PHLC12.TPX.control.P704,PHLC12,RNASeq
f65.PHLC12.TPX.control.P704,PHLC12,CNV
f65.PHLC12.TPX.control.P704,PHLC12,mutation
f64.PHLC12.TPX.control.P704,PHLC12,RNASeq
f64.PHLC12.TPX.control.P704,PHLC12,CNV
f64.PHLC12.TPX.control.P704,PHLC12,mutation
f64.PHLC12.TPX.control.P705,PHLC12,RNASeq
f64.PHLC12.TPX.control.P705,PHLC12,CNV
f64.PHLC12.TPX.control.P705,PHLC12,mutation
f64.PHLC12.TPX.control.P706,PHLC12,RNASeq
f64.PHLC12.TPX.control.P706,PHLC12,CNV
f64.PHLC12.TPX.control.P706,PHLC12,mutation
