batch.name,treatment,control
f1.PHLC402.TPX.crizotinib,"f1.PHLC402.TPX.crizotinib.P601,f1.PHLC402.TPX.crizotinib.P602,f1.PHLC402.TPX.crizotinib.P604,f1.PHLC402.TPX.crizotinib.P605,f1.PHLC402.TPX.crizotinib.P606,f1.PHLC402.TPX.crizotinib.P611,f1.PHLC402.TPX.crizotinib.P612","f1.PHLC402.TPX.control.P603,f1.PHLC402.TPX.control.P607,f1.PHLC402.TPX.control.P608,f1.PHLC402.TPX.control.P609,f1.PHLC402.TPX.control.P610,f1.PHLC402.TPX.control.P613"
f2.PHLC402.TPX.crizotinib,"f2.PHLC402.TPX.crizotinib.P501,f2.PHLC402.TPX.crizotinib.P502,f2.PHLC402.TPX.crizotinib.P504,f2.PHLC402.TPX.crizotinib.P509,f2.PHLC402.TPX.crizotinib.P512","f2.PHLC402.TPX.control.P503,f2.PHLC402.TPX.control.P505,f2.PHLC402.TPX.control.P507,f2.PHLC402.TPX.control.P510,f2.PHLC402.TPX.control.P513"
f3.PHLC137.TPX.palbociclib,"f3.PHLC137.TPX.palbociclib.P801,f3.PHLC137.TPX.palbociclib.P805,f3.PHLC137.TPX.palbociclib.P807,f3.PHLC137.TPX.palbociclib.P809,f3.PHLC137.TPX.palbociclib.P811","f3.PHLC137.TPX.control.P802,f3.PHLC137.TPX.control.P803,f3.PHLC137.TPX.control.P806,f3.PHLC137.TPX.control.P808,f3.PHLC137.TPX.control.P810,f3.PHLC137.TPX.control.P812"
f4.PHLC191.TPX.palbociclib,"f4.PHLC191.TPX.palbociclib.P601,f4.PHLC191.TPX.palbociclib.P603,f4.PHLC191.TPX.palbociclib.P605,f4.PHLC191.TPX.palbociclib.P609,f4.PHLC191.TPX.palbociclib.P610,f4.PHLC191.TPX.palbociclib.P612","f4.PHLC191.TPX.control.P602,f4.PHLC191.TPX.control.P604,f4.PHLC191.TPX.control.P606,f4.PHLC191.TPX.control.P607,f4.PHLC191.TPX.control.P608,f4.PHLC191.TPX.control.P611"
f5.PHLC228.TPX.palbociclib,"f5.PHLC228.TPX.palbociclib.P501,f5.PHLC228.TPX.palbociclib.P502,f5.PHLC228.TPX.palbociclib.P503,f5.PHLC228.TPX.palbociclib.P509,f5.PHLC228.TPX.palbociclib.P510,f5.PHLC228.TPX.palbociclib.P511","f5.PHLC228.TPX.control.P504,f5.PHLC228.TPX.control.P505,f5.PHLC228.TPX.control.P506,f5.PHLC228.TPX.control.P507,f5.PHLC228.TPX.control.P508"
f6.PHLC108.TPX.Vandetanib,"f6.PHLC108.TPX.Vandetanib.P803,f6.PHLC108.TPX.Vandetanib.P804,f6.PHLC108.TPX.Vandetanib.P809,f6.PHLC108.TPX.Vandetanib.P811,f6.PHLC108.TPX.Vandetanib.P813,f6.PHLC108.TPX.Vandetanib.P814","f6.PHLC108.TPX.control.P805,f6.PHLC108.TPX.control.P807,f6.PHLC108.TPX.control.P808,f6.PHLC108.TPX.control.P815"
f6.PHLC108.TPX.dacomitinib,"f6.PHLC108.TPX.dacomitinib.P801,f6.PHLC108.TPX.dacomitinib.P802,f6.PHLC108.TPX.dacomitinib.P806,f6.PHLC108.TPX.dacomitinib.P810,f6.PHLC108.TPX.dacomitinib.P812,f6.PHLC108.TPX.dacomitinib.P816","f6.PHLC108.TPX.control.P805,f6.PHLC108.TPX.control.P807,f6.PHLC108.TPX.control.P808,f6.PHLC108.TPX.control.P815"
f7.PHLC137.TPX.erlotinib,"f7.PHLC137.TPX.erlotinib.P1221,f7.PHLC137.TPX.erlotinib.P1222,f7.PHLC137.TPX.erlotinib.P1224,f7.PHLC137.TPX.erlotinib.P1225,f7.PHLC137.TPX.erlotinib.P1226,f7.PHLC137.TPX.erlotinib.P1229,f7.PHLC137.TPX.erlotinib.P1231,f7.PHLC137.TPX.erlotinib.P1238,f7.PHLC137.TPX.erlotinib.P1239,f7.PHLC137.TPX.erlotinib.P1241",
f8.PHLC137.TPX.erlotinib,"f8.PHLC137.TPX.erlotinib.P1202,f8.PHLC137.TPX.erlotinib.P1204,f8.PHLC137.TPX.erlotinib.P1207,f8.PHLC137.TPX.erlotinib.P1209,f8.PHLC137.TPX.erlotinib.P1212,f8.PHLC137.TPX.erlotinib.P1213","f8.PHLC137.TPX.control.P1201,f8.PHLC137.TPX.control.P1203,f8.PHLC137.TPX.control.P1205,f8.PHLC137.TPX.control.P1208,f8.PHLC137.TPX.control.P1210,f8.PHLC137.TPX.control.P1211"
f9.PHLC137.TPX.dacomitinib,"f9.PHLC137.TPX.dacomitinib.P704,f9.PHLC137.TPX.dacomitinib.P706,f9.PHLC137.TPX.dacomitinib.P708,f9.PHLC137.TPX.dacomitinib.P714,f9.PHLC137.TPX.dacomitinib.P717,f9.PHLC137.TPX.dacomitinib.P718","f9.PHLC137.TPX.control.P701,f9.PHLC137.TPX.control.P707,f9.PHLC137.TPX.control.P709,f9.PHLC137.TPX.control.P713,f9.PHLC137.TPX.control.P715"
f9.PHLC137.TPX.erlotinib,"f9.PHLC137.TPX.erlotinib.P703,f9.PHLC137.TPX.erlotinib.P705,f9.PHLC137.TPX.erlotinib.P710,f9.PHLC137.TPX.erlotinib.P711,f9.PHLC137.TPX.erlotinib.P712,f9.PHLC137.TPX.erlotinib.P716","f9.PHLC137.TPX.control.P701,f9.PHLC137.TPX.control.P707,f9.PHLC137.TPX.control.P709,f9.PHLC137.TPX.control.P713,f9.PHLC137.TPX.control.P715"
f10.PHLC148.TPX.crizotinib,"f10.PHLC148.TPX.crizotinib.P1106,f10.PHLC148.TPX.crizotinib.P1109,f10.PHLC148.TPX.crizotinib.P1110,f10.PHLC148.TPX.crizotinib.P1114,f10.PHLC148.TPX.crizotinib.P1120,f10.PHLC148.TPX.crizotinib.P1121,f10.PHLC148.TPX.crizotinib.P1123","f10.PHLC148.TPX.control.P1101,f10.PHLC148.TPX.control.P1104,f10.PHLC148.TPX.control.P1107,f10.PHLC148.TPX.control.P1113,f10.PHLC148.TPX.control.P1117,f10.PHLC148.TPX.control.P1126"
f10.PHLC148.TPX.erlotinib,"f10.PHLC148.TPX.erlotinib.P1102,f10.PHLC148.TPX.erlotinib.P1105,f10.PHLC148.TPX.erlotinib.P1112,f10.PHLC148.TPX.erlotinib.P1115,f10.PHLC148.TPX.erlotinib.P1118,f10.PHLC148.TPX.erlotinib.P1119,f10.PHLC148.TPX.erlotinib.P1122","f10.PHLC148.TPX.control.P1101,f10.PHLC148.TPX.control.P1104,f10.PHLC148.TPX.control.P1107,f10.PHLC148.TPX.control.P1113,f10.PHLC148.TPX.control.P1117,f10.PHLC148.TPX.control.P1126"
f10.PHLC148.TPX.erlotinib+crizotinib,"f10.PHLC148.TPX.erlotinib+crizotinib.P1103,f10.PHLC148.TPX.erlotinib+crizotinib.P1108,f10.PHLC148.TPX.erlotinib+crizotinib.P1111,f10.PHLC148.TPX.erlotinib+crizotinib.P1116,f10.PHLC148.TPX.erlotinib+crizotinib.P1124,f10.PHLC148.TPX.erlotinib+crizotinib.P1125,f10.PHLC148.TPX.erlotinib+crizotinib.P1127","f10.PHLC148.TPX.control.P1101,f10.PHLC148.TPX.control.P1104,f10.PHLC148.TPX.control.P1107,f10.PHLC148.TPX.control.P1113,f10.PHLC148.TPX.control.P1117,f10.PHLC148.TPX.control.P1126"
f11.PHLC148.TPX.dacomitinib,"f11.PHLC148.TPX.dacomitinib.P603,f11.PHLC148.TPX.dacomitinib.P605,f11.PHLC148.TPX.dacomitinib.P607,f11.PHLC148.TPX.dacomitinib.P613,f11.PHLC148.TPX.dacomitinib.P615,f11.PHLC148.TPX.dacomitinib.P617","f11.PHLC148.TPX.control.P601,f11.PHLC148.TPX.control.P602,f11.PHLC148.TPX.control.P606,f11.PHLC148.TPX.control.P608,f11.PHLC148.TPX.control.P609,f11.PHLC148.TPX.control.P614"
