file_name	file_checksum	file_last_modified_date	ModelID	SampleID	passage	tissue	Drug	start_date	start_treatment_date	end_date	time	volume
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-9.0	76.62436288
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-4.0	62.39877436
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-1.0	121.19108976
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	0.0	121.19108976
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	4.0	106.87969604
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	7.0	158.1835554
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	11.0	199.267263
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	14.0	278.11990856
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	18.0	356.1284563199999
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	21.0	433.39609872
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P601	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	25.0	378.5005333200002
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-9.0	79.36344987999999
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-4.0	79.23438900000001
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-1.0	110.88856428
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	0.0	110.88856428
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	4.0	103.96321104
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	7.0	133.125408
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	11.0	199.13001888
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	14.0	333.3997867200001
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	18.0	368.5125017600001
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	21.0	524.7170240000002
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P602	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	25.0	628.68422656
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	-9.0	121.22106048
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	-4.0	132.45302304
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	-1.0	277.1580032
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	0.0	277.1580032
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	4.0	182.602771
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	7.0	262.559232
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	11.0	458.87922912
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	14.0	493.05372792
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	18.0	678.4487424
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	21.0	605.2380672
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P603	6	lung	Vehicle	2015-07-15	2015-07-27	2015-08-17	25.0	1080.278147
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-9.0	88.180547
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-4.0	127.76725104
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	-1.0	236.16592896
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	0.0	236.16592896
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	4.0	224.63369292
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	7.0	303.6055932
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	11.0	314.3634208
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	14.0	603.73540604
Master ALK fusion Series Excel File_402_Crizotinib_2__Kelly.xlsx			PHLC402	PHLC402_P604	6	lung	Criz	2015-07-15	2015-07-27	2015-08-17	18.0	489.5041216000001
