"","hgnc_symbol","ensembl_gene_id","entrezgene_id","gene_biotype","description"
"A1BG","A1BG","ENSG00000121410",1,"protein_coding","alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]"
"A2M","A2M","ENSG00000175899",2,"protein_coding","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]"
"NAT1","NAT1","ENSG00000171428",9,"protein_coding","N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]"
"NAT2","NAT2","ENSG00000156006",10,"protein_coding","N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]"
"SERPINA3","SERPINA3","ENSG00000196136",12,"protein_coding","serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]"
"AADAC","AADAC","ENSG00000114771",13,"protein_coding","arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]"
"AAMP","AAMP","ENSG00000127837",14,"protein_coding","angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]"
"AANAT","AANAT","ENSG00000129673",15,"protein_coding","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]"
"AARS",NA,NA,NA,NA,NA
"ABAT","ABAT","ENSG00000183044",18,"protein_coding","4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]"
"ABCA1","ABCA1","ENSG00000165029",19,"protein_coding","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]"
"ABCA2","ABCA2","ENSG00000107331",20,"protein_coding","ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]"
"ABCA3","ABCA3","ENSG00000167972",21,"protein_coding","ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]"
"ABCB7","ABCB7","ENSG00000131269",22,"protein_coding","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]"
"ABCF1","ABCF1","ENSG00000204574",23,"protein_coding","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]"
